	RyersonU	sageryerson	TetraRyerson	mathryerson	
aahildayani	0.003713134305363044	0.0	0.0	0.0	
aarms	0.0	0.0	0.0	0.010777172045613662	
ab	0.001856567152681522	0.0	0.0	0.0	
abandon	0.003713134305363044	0.0	0.0	0.0	
abas	0.001856567152681522	0.0	0.0	0.0	
abbas	0.0	0.0	0.0	0.021554344091227324	
abbeola	0.001856567152681522	0.0	0.0	0.0	
abdvllfirin	0.001856567152681522	0.0	0.0	0.0	
aboriginal	0.014852537221452177	0.0	0.0	0.0	
abramovich	0.001856567152681522	0.0	0.0	0.0	
abroad	0.001856567152681522	0.0	0.0	0.0	
absorption	0.0	0.0	0.0	0.010777172045613662	
abstract	0.0	0.0	0.0	0.06466303227368198	
abt	0.007426268610726088	0.0	0.0	0.0	
abundanceand	0.0	0.0	0.0	0.010777172045613662	
abuzz	0.001856567152681522	0.0	0.0	0.0	
academic	0.023207089408519028	0.0	0.0	0.005388586022806831	
academics	0.001856567152681522	0.0	0.0	0.0	
academynet	0.001856567152681522	0.0	0.0	0.0	
acc	0.001856567152681522	0.0	0.0	0.0	
acceptance	0.003713134305363044	0.0	0.0	0.0	
accepting	0.003713134305363044	0.0	0.0	0.005388586022806831	
access	0.012995970068770655	0.0	0.0	0.0	
accessibility	0.007426268610726088	0.0	0.0	0.0	
accessible	0.007426268610726088	0.0	0.0	0.0	
accessnowapp	0.007426268610726088	0.0	0.0	0.0	
accessryerson	0.011139402916089133	0.0	0.0	0.0	
account	0.003713134305363044	0.0	0.0	0.0	
accounts	0.001856567152681522	0.0	0.0	0.0	
accreditation	0.001856567152681522	0.0	0.0	0.0	
aces	0.001856567152681522	0.0	0.0	0.0	
achievement	0.007426268610726088	0.0	0.0	0.0	
achievements	0.012995970068770655	0.0	0.0	0.0	
achievers	0.001856567152681522	0.0	0.0	0.0	
acknowledges	0.003713134305363044	0.0	0.0	0.0	
acquisition	0.0	0.0	0.0	0.010777172045613662	
acting	0.001856567152681522	0.0	0.0	0.0	
action	0.02599194013754131	0.0	0.0	0.0	
active	0.003713134305363044	0.0	0.0	0.0	
activism	0.009282835763407611	0.0	0.0	0.0	
activist	0.001856567152681522	0.0	0.0	0.0	
activities	0.001856567152681522	0.0	0.0	0.005388586022806831	
activity	0.0046414178817038056	0.0	0.0	0.010777172045613662	
actranat	0.001856567152681522	0.0	0.0	0.0	
ad	0.001856567152681522	0.0	0.0	0.0	
ada	0.0	0.0	0.0	0.010777172045613662	
adam	0.003713134305363044	0.0	0.0	0.0	
add	0.003713134305363044	0.0	0.0	0.0	
additional	0.001856567152681522	0.0	0.0	0.0	
address	0.0027848507290222833	0.0	0.0	0.005388586022806831	
addressed	0.001856567152681522	0.0	0.0	0.0	
adjustments	0.001856567152681522	0.0	0.0	0.0	
administered	0.001856567152681522	0.0	0.0	0.0	
administration	0.001856567152681522	0.0	0.0	0.0	
administrative	0.0055697014580445665	0.0	0.0	0.0	
admission	0.0055697014580445665	0.0	0.0	0.0	
admissions	0.011139402916089133	0.0	0.0	0.0	
admitted	0.001856567152681522	0.0	0.0	0.0	
adolescents	0.001856567152681522	0.0	0.0	0.0	
