	CatsRuleNews	TheCatTweeting	sweetiepiecat	ElDiabloZoe	
aaaaaaaaaaand	0.0	0.005868860272391637	0.0	0.0	
aaaaaaaaw	0.0	0.005868860272391637	0.0	0.0	
aaaaaaaw	0.0	0.01760658081717491	0.0	0.0	
aaaaaah	0.0	0.005868860272391637	0.0	0.0	
aaaaaaw	0.0	0.005868860272391637	0.0	0.0	
aaaaah	0.0	0.041082021906741456	0.0	0.0	
aaaaaw	0.0	0.005868860272391637	0.0	0.0	
aaaacccch	0.0	0.0	0.0045369390578912	0.0	
aaaah	0.0	0.03521316163434982	0.0	0.0	
aaaaw	0.0	0.005868860272391637	0.0	0.0	
aaahhh	0.0	0.0	0.0045369390578912	0.0	
aahlkwd	0.0	0.0	0.0090738781157824	0.0	
abandoned	0.0	0.0	0.0090738781157824	0.0	
abbott	0.0	0.0	0.0045369390578912	0.0	
abbreviations	0.0	0.0	0.0045369390578912	0.0	
abdomen	0.0	0.0	0.0045369390578912	0.0	
abdullahsaylam	0.03981693508395617	0.0	0.0	0.0	
ability	0.0	0.0	0.0045369390578912	0.0	
absolutely	0.0	0.0	0.0090738781157824	0.0	
ac	0.0	0.0	0.0090738781157824	0.0	
academy	0.0	0.0	0.013610817173673599	0.0	
accept	0.0	0.0	0.0045369390578912	0.0	
acceptable	0.0	0.0	0.0045369390578912	0.0	
accessorize	0.0	0.0	0.0045369390578912	0.0	
accident	0.0	0.0	0.013610817173673599	0.0	
accidentally	0.0	0.0	0.0045369390578912	0.0	
accidents	0.0	0.0	0.0045369390578912	0.0	
account	0.008262760583096614	0.0012178985455351893	9.414999204838383E-4	0.0	
accuse	0.0	0.0	0.0045369390578912	0.0	
acres	0.0	0.0	0.0090738781157824	0.0	
actin	0.0	0.029344301361958185	0.0	0.0	
acting	0.0	0.0029344301361958185	0.0045369390578912	0.0	
action	0.0	0.0	0.0181477562315648	0.0	
actions	0.0	0.0	0.0045369390578912	0.0	
activists	0.0	0.0	0.0045369390578912	0.0	
actor	0.0	0.0	0.0181477562315648	0.0	
actors	0.0	0.0	0.0045369390578912	0.0	
actorsmeow	0.0	0.0	0.0045369390578912	0.0	
actress	0.0	0.0	0.0045369390578912	0.0	
acts	0.0	0.0	0.0045369390578912	0.0	
ad	0.0	0.0	0.0045369390578912	0.0	
adaptable	0.0	0.0	0.0045369390578912	0.0	
add	0.0	0.0	0.0045369390578912	0.0	
address	0.0	0.0029344301361958185	0.0022684695289456	0.0	
adds	0.0	0.0	0.0045369390578912	0.0	
admiralhestorb	0.0	0.0	0.0045369390578912	0.0	
admit	0.0	0.0	0.013610817173673599	0.0	
adolescent	0.0	0.0	0.0045369390578912	0.0	
adopt	0.0	0.0	0.0045369390578912	0.0	
adopted	0.0	0.0	0.013610817173673599	0.0	
adopting	0.0	0.0	0.0045369390578912	0.0	
adoptions	0.0	0.0	0.0045369390578912	0.0	
adorable	0.019908467541978087	0.0	0.0158792867026192	0.0	
adorapurr	0.0	0.0	0.0045369390578912	0.0	
adore	0.019908467541978087	0.0	0.0022684695289456	0.0	
ads	0.0	0.005868860272391637	0.0	0.0	
advantage	0.03981693508395617	0.0	0.0	0.0	
advice	0.0	0.0	0.013610817173673599	0.0	
advise	0.0	0.0	0.0045369390578912	0.0	
affect	0.0	0.0	0.0045369390578912	0.0	
affection	0.0	0.0	0.0090738781157824	0.0	
affirmation	0.0	0.0	0.0045369390578912	0.0	
affleck	0.0	0.0	0.0045369390578912	0.0	
afford	0.0	0.0	0.013610817173673599	0.0	
afraid	0.0	0.0	0.0045369390578912	0.0	
afraidbe	0.0	0.0	0.0045369390578912	0.0	
africa	0.0	0.0	0.0090738781157824	0.0	
afterdinner	0.0	0.0	0.0045369390578912	0.0	
afternoon	0.0	0.014672150680979093	0.0045369390578912	0.0	
againtshirts	0.0	0.0	0.0045369390578912	0.0	
againwait	0.0	0.0	0.0045369390578912	0.0	
age	0.0	0.0029344301361958185	0.006805408586836799	0.0	
agent	0.0	0.0	0.0045369390578912	0.0	
aging	0.03981693508395617	0.0	0.0	0.0	
agnesonalicia	0.0	0.0	0.0045369390578912	0.0	
ago	0.0	0.02347544108956655	0.0045369390578912	0.0	
agree	0.0	0.0	0.022684695289456	0.0	
agreed	0.0	0.0	0.0045369390578912	0.0	
agreetitle	0.0	0.0	0.0045369390578912	0.0	
aguayo	0.0	0.0	0.0045369390578912	0.0	
ahappy	0.0	0.0	0.0045369390578912	0.0	
ahead	0.0	0.0	0.0090738781157824	0.0	
ahoy	0.0	0.0	0.0045369390578912	0.0	
aid	0.0	0.005868860272391637	0.0	0.0	
aim	0.0	0.0	0.0045369390578912	0.0	
aimeecurry	0.0	0.0	0.0045369390578912	0.0	
aint	0.0	0.0	0.04990632963680319	0.0	
air	0.0	0.0029344301361958185	0.006805408586836799	0.0	
airtime	0.0	0.0	0.0045369390578912	0.0	
aka	0.0	0.0	0.0090738781157824	0.0	
alarm	0.0	0.0029344301361958185	0.0045369390578912	0.0	
alayna	0.0	0.0	0.0045369390578912	0.0	
albert	0.0	0.0	0.0090738781157824	0.0	
alert	0.0	0.005868860272391637	0.0	0.0	
alice	0.0	0.0	0.0045369390578912	0.0	
alien	0.0	0.0	0.0045369390578912	0.0	
aliens	0.0	0.0	0.0090738781157824	0.0	
alike	0.0	0.0	0.0181477562315648	0.0	
alive	0.0	0.0	0.013610817173673599	0.0	
allaboutmycat	0.03981693508395617	0.0	0.0	0.0	
allergies	0.0	0.0	0.0045369390578912	0.0	
alley	0.0	0.0	0.013610817173673599	0.0	
alleycatallies	0.0	0.0	0.0045369390578912	0.0	
alleyways	0.0	0.0	0.0045369390578912	0.0	
allow	0.0	0.05281974245152473	0.0022684695289456	0.0	
allowed	0.0	0.0	0.013610817173673599	0.0	
allsoboring	0.0	0.0	0.022684695289456	0.0	
ally	0.0	0.0	0.0045369390578912	0.0	
almostacat	0.0	0.0	0.0045369390578912	0.0	
alpacas	0.0	0.0	0.0045369390578912	0.0	
alright	0.019908467541978087	0.0	0.011342347644728	0.0	
alrightlyrics	0.0	0.0	0.0045369390578912	0.0	
altered	0.0	0.0	0.0045369390578912	0.0	
amaze	0.0	0.0	0.0045369390578912	0.0	
amazing	0.0	0.005868860272391637	0.0022684695289456	0.0	
amazon	0.0	0.01760658081717491	0.0022684695289456	0.0	
amazons	0.0	0.005868860272391637	0.0	0.0	
amazonstudios	0.0	0.0	0.0045369390578912	0.0	
ambereyes	0.0	0.0	0.0090738781157824	0.0	
amen	0.0	0.0	0.0090738781157824	0.0	
americahappy	0.0	0.0	0.0090738781157824	0.0	
american	0.0	0.0	0.0045369390578912	0.0	
americas	0.0	0.0029344301361958185	0.0022684695289456	0.0	
amethyst	0.0	0.0	0.0045369390578912	0.0	
amico	0.0	0.0	0.0045369390578912	0.0	
amigo	0.0	0.0	0.0045369390578912	0.0	
amigos	0.0	0.0	0.013610817173673599	0.0	
amor	0.0	0.0	0.013610817173673599	0.0	
amorous	0.0	0.0	0.0045369390578912	0.0	
amusement	0.0	0.005868860272391637	0.0	0.0	
anarchy	0.0	0.0	0.0045369390578912	0.0	
ancestors	0.0	0.0	0.0090738781157824	0.0	
ancient	0.0	0.0	0.0045369390578912	0.0	
andrearach	0.0	0.0	0.0045369390578912	0.0	
angel	0.0	0.0	0.0045369390578912	0.0	
angeles	0.0	0.0	0.0090738781157824	0.0	
angelica	0.0	0.0	0.0045369390578912	0.0	
angelina	0.0	0.0	0.0045369390578912	0.0	
