	TorontoStar	only1nabil	AcadieSon	AndreasKalo	
aaaaand	0.0010038570401371013	0.0	0.0	0.0	
aaapbp	0.0	0.0	0.007361480551895291	0.0	
aaliyah	0.0	0.0052929083454719235	0.0	0.0	
aaron	0.0	0.010585816690943847	0.0	0.0	
aarongordon	0.0	0.0	0.0	0.004699599112362139	
aay	0.0010038570401371013	0.0	0.0	0.0	
ab	0.0	0.0052929083454719235	0.0	0.0	
aballinga	0.0030115711204113035	0.0	0.0	0.0	
abandon	0.0	0.0	0.007361480551895291	0.0	
abandoned	0.004015428160548405	0.0	0.0	0.0	
abbey	0.004015428160548405	0.0	0.0	0.0	
abbottheleme	0.0	0.0	0.0	0.1409879733708642	
abc	0.0	0.0052929083454719235	0.007361480551895291	0.0	
abcfamily	0.0	0.0052929083454719235	0.0	0.0	
abcnetwork	0.0	0.0052929083454719235	0.0	0.0	
abcnews	0.0	0.0	0.014722961103790582	0.0	
abdeslam	0.0010038570401371013	0.0	0.0	0.0	
abduct	0.0	0.0	0.007361480551895291	0.0	
abducted	0.0010038570401371013	0.0	0.0	0.0	
abduction	0.0010038570401371013	0.0	0.0036807402759476454	0.0	
abe	0.0	0.0	0.014722961103790582	0.0	
abel	0.0010038570401371013	0.0	0.0	0.0	
abennnny	0.0	0.0052929083454719235	0.0	0.0	
abercrombie	0.0	0.0052929083454719235	0.0	0.0	
abhorrent	0.0010038570401371013	0.0	0.0	0.0	
ability	6.249574733579465E-4	0.0021967554436167895	0.0	0.001950509863207856	
abin	0.0	0.0	0.0	0.004699599112362139	
aboard	0.0015057855602056518	0.0	0.0036807402759476454	0.0	
abolishing	0.0	0.0052929083454719235	0.0	0.0	
aboriginal	0.0014582341045018751	0.0010983777218083947	0.0	9.75254931603928E-4	
aboriginalthemed	0.0020077140802742025	0.0	0.0	0.0	
abort	0.0010038570401371013	0.0	0.0	0.0	
aborted	0.0	0.0052929083454719235	0.0	0.0	
abortion	0.0010038570401371013	0.0	0.007361480551895291	0.0	
abraham	5.019285200685506E-4	0.0052929083454719235	0.0	0.0	
abrewin	0.0010038570401371013	0.0	0.0	0.0	
abroad	0.0	0.0	0.007361480551895291	0.0	
abrupt	0.0	0.0	0.007361480551895291	0.0	
abs	0.0015057855602056518	0.0052929083454719235	0.0	0.0	
absence	0.0	0.0010983777218083947	0.001527645239624232	0.001950509863207856	
absolute	0.0	0.0	0.007361480551895291	0.0023497995561810696	
absolutely	0.0	0.010585816690943847	0.0	0.021148196005629626	
absorb	5.019285200685506E-4	0.0026464541727359617	0.0	0.0	
absurd	0.0	0.0	0.06625332496705762	0.0	
absurdly	0.0	0.0	0.007361480551895291	0.0	
abu	0.0020077140802742025	0.0	0.0	0.0	
abundant	0.0	0.0	0.007361480551895291	0.0	
abuse	0.0016665532622878573	0.0	0.006110580958496928	0.003901019726415712	
abused	0.0010038570401371013	0.0026464541727359617	0.0	0.0	
abuses	0.0	0.0	0.0	0.004699599112362139	
abusive	0.0	0.0	0.007361480551895291	0.0	
abwc	0.0010038570401371013	0.0	0.0	0.0	
aby	0.0010038570401371013	0.0	0.0	0.0	
abyss	0.0	0.0	0.007361480551895291	0.0	
ac	0.0030115711204113035	0.0	0.0	0.0	
aca	0.0	0.0	0.007361480551895291	0.0	
academics	0.0	0.0052929083454719235	0.0	0.0	
academisation	0.0	0.0	0.007361480551895291	0.0	
academy	0.002291510735645804	0.0010983777218083947	0.0	9.75254931603928E-4	
academyawards	0.0	0.026464541727359618	0.0	0.0	
academynet	0.0030115711204113035	0.0	0.0	0.0	
